Iterations,Seconds,Score
10000,1,76.508544
20000,1,62.269074
30000,1,68.059339
40000,2,57.575056
50000,2,59.298921
60000,2,44.068643
70000,3,51.770109
80000,3,49.186822
90000,3,47.575725
100000,4,44.804220
110000,4,50.559188
120000,4,48.505191
130000,5,44.358610
140000,5,41.582650
150000,5,41.625059
160000,6,37.022964
170000,6,39.350793
180000,6,41.149007
190000,7,38.936461
200000,7,38.456785
210000,7,38.635243
220000,8,36.971969
230000,8,36.295245
240000,8,35.465100
250000,9,35.865594
260000,9,35.970791
270000,9,34.860563
280000,10,34.632164
290000,10,32.447071
300000,10,32.378745
310000,11,33.134933
320000,11,31.961067
330000,11,32.922808
340000,12,30.172416
350000,12,31.085367
360000,12,30.501872
370000,13,30.094484
380000,13,28.425222
390000,13,29.380174
400000,13,29.563503
410000,14,28.558977
420000,14,28.637625
430000,14,28.086248
440000,15,27.164510
450000,15,27.606117
460000,15,27.446181
470000,16,27.477212
480000,16,26.874987
490000,16,26.977220
500000,17,25.935967
510000,17,26.343095
520000,17,26.314551
530000,18,26.232467
540000,18,26.102286
550000,18,25.863340
560000,19,25.866724
570000,19,25.977952
580000,19,25.767067
590000,20,25.504985
600000,20,25.138472
610000,20,25.229594
620000,21,24.873763
630000,21,24.995875
640000,21,24.767423
650000,21,24.662882
660000,22,25.073395
670000,22,24.390637
680000,22,24.516317
690000,23,23.999502
700000,23,24.444063
710000,23,24.128872
720000,23,24.049255
730000,24,24.033391
740000,24,23.934569
750000,24,23.944206
760000,25,23.513544
770000,25,23.721926
780000,25,23.659265
790000,26,23.086990
800000,26,23.030113
810000,26,23.213541
820000,27,23.200086
830000,27,23.208242
840000,27,23.276520
850000,27,23.033485
860000,28,23.077500
870000,28,22.907161
880000,28,22.594630
890000,29,22.879092
900000,29,22.811260
910000,29,22.455686
920000,30,22.553998
930000,30,22.418632
940000,30,22.544561
950000,31,22.537127
960000,31,22.512691
970000,31,22.335097
980000,32,22.528362
990000,32,22.272632
1000000,32,22.474477
1010000,33,22.242956
1020000,33,22.075312
1030000,33,22.149939
1040000,34,22.220237
1050000,34,21.831026
1060000,34,21.873132
1070000,35,21.977278
1080000,35,22.001625
1090000,35,21.983349
1100000,36,21.786683
1110000,36,21.844472
1120000,36,21.805752
1130000,37,21.777497
1140000,37,21.719071
1150000,37,21.711089
1160000,38,21.710633
1170000,38,21.646758
1180000,39,21.535632
1190000,39,21.409712
1200000,39,21.467237
1210000,39,21.514975
1220000,40,21.447661
1230000,40,21.340375
1240000,40,21.332209
1250000,41,21.370558
1260000,41,21.311105
1270000,41,21.281551
1280000,42,21.126724
1290000,42,21.091188
1300000,42,21.173536
1310000,43,21.122900
1320000,43,21.155961
1330000,43,20.902112
1340000,44,21.023334
1350000,44,20.901306
1360000,44,20.818541
1370000,45,20.788993
1380000,45,20.711536
1390000,46,20.795493
1400000,46,20.605518
1410000,46,20.679122
1420000,46,20.739309
1430000,47,20.589581
1440000,47,20.693832
1450000,47,20.634544
1460000,48,20.562964
1470000,48,20.527906
1480000,49,20.536072
1490000,49,20.367326
1500000,49,20.541215
1510000,50,20.429117
1520000,50,20.409493
1530000,50,20.504354
1540000,51,20.429436
1550000,51,20.433868
1560000,51,20.441118
1570000,52,20.393890
1580000,52,20.418709
1590000,52,20.427058
1600000,53,20.314563
1610000,53,20.347388
1620000,53,20.314502
1630000,54,20.288727
1640000,54,20.369771
1650000,54,20.303882
1660000,55,20.288043
1670000,55,20.250526
1680000,55,20.277090
1690000,56,20.152750
1700000,56,20.196836
1710000,56,20.095544
1720000,57,20.192340
1730000,57,20.175291
1740000,57,20.146650
1750000,58,20.155809
1760000,58,20.021339
1770000,58,20.143765
1780000,59,19.989456
1790000,59,20.049653
1800000,60,20.025372
1810000,60,19.982441
1820000,60,20.003513
1830000,61,19.948653
1840000,61,19.979285
1850000,61,19.971398
1860000,62,19.959939
1870000,62,19.891671
1880000,62,19.921919
1890000,63,19.997056
1900000,63,19.896609
1910000,63,19.915673
1920000,64,19.864729
1930000,64,19.917247
1940000,64,19.841002
1950000,65,19.835908
1960000,65,19.742082
1970000,66,19.771635
1980000,66,19.749426
1990000,66,19.757199
2000000,67,19.723933
2010000,67,19.677923
2020000,67,19.723788
2030000,68,19.697367
2040000,68,19.673391
2050000,68,19.680961
2060000,69,19.665076
2070000,69,19.623766
2080000,69,19.652523
2090000,70,19.617852
2100000,70,19.565270
2110000,70,19.621472
2120000,71,19.583217
2130000,71,19.567505
2140000,71,19.582709
2150000,72,19.565061
2160000,72,19.566959
2170000,72,19.511143
2180000,73,19.521863
2190000,73,19.467056
2200000,73,19.462600
2210000,74,19.463350
2220000,74,19.475145
2230000,74,19.489686
2240000,75,19.454696
2250000,75,19.377523
2260000,75,19.425834
2270000,76,19.427625
2280000,76,19.425474
2290000,76,19.387204
2300000,77,19.378719
2310000,77,19.302168
2320000,77,19.299770
2330000,78,19.375105
2340000,78,19.378255
2350000,78,19.350161
2360000,79,19.339694
2370000,79,19.353470
2380000,79,19.326291
2390000,80,19.328229
2400000,80,19.337630
2410000,80,19.275071
2420000,81,19.297536
2430000,81,19.249760
2440000,81,19.201702
2450000,82,19.258141
2460000,82,19.208436
2470000,83,19.250972
2480000,83,19.205765
2490000,83,19.216822
2500000,84,19.162115
2510000,84,19.230936
2520000,84,19.159546
2530000,85,19.183890
2540000,85,19.112661
2550000,85,19.118317
2560000,86,19.134329
2570000,86,19.045602
2580000,86,19.031155
2590000,87,19.092702
2600000,87,19.062513
2610000,87,19.040419
2620000,88,18.977140
2630000,88,18.882183
2640000,88,18.996778
2650000,89,18.987406
2660000,89,18.967485
2670000,89,18.932340
2680000,90,18.914903
2690000,90,18.877260
2700000,91,18.928699
2710000,91,18.869503
2720000,91,18.819015
2730000,92,18.814484
2740000,92,18.872686
2750000,92,18.859633
2760000,93,18.832528
2770000,93,18.804255
2780000,93,18.812720
2790000,94,18.800543
2800000,94,18.793308
2810000,94,18.803252
2820000,95,18.783199
2830000,95,18.729444
2840000,96,18.770363
2850000,96,18.754133
2860000,96,18.711206
2870000,97,18.715579
2880000,97,18.704062
2890000,97,18.688837
2900000,98,18.637454
2910000,98,18.656770
2920000,99,18.670406
2930000,99,18.625678
2940000,99,18.631850
2950000,100,18.656211
2960000,100,18.592319
2970000,100,18.622097
2980000,101,18.585997
2990000,101,18.557765
3000000,101,18.555860
3010000,102,18.463265
3020000,102,18.543911
3030000,103,18.513549
3040000,103,18.559183
3050000,103,18.522793
3060000,104,18.480676
3070000,104,18.520737
3080000,104,18.441558
3090000,105,18.459280
3100000,105,18.330766
3110000,106,18.434214
3120000,106,18.450485
3130000,106,18.437357
3140000,107,18.418036
3150000,107,18.345931
3160000,107,18.387151
3170000,108,18.401906
3180000,108,18.366385
3190000,108,18.295683
3200000,109,18.291500
3210000,109,18.326704
3220000,110,18.311758
3230000,110,18.276015
3240000,110,18.310248
3250000,111,18.296296
3260000,111,18.280734
3270000,111,18.201821
3280000,112,18.255270
3290000,112,18.218387
3300000,113,18.262997
3310000,113,18.168553
3320000,113,18.170201
3330000,114,18.229209
3340000,114,18.189059
3350000,114,18.199687
3360000,115,18.163446
3370000,115,18.171931
3380000,115,18.178729
3390000,116,18.170488
3400000,116,18.098265
3410000,117,18.156938
3420000,117,18.165905
3430000,117,18.133747
3440000,118,18.124640
3450000,118,18.123199
3460000,118,18.146309
3470000,119,18.119842
3480000,119,18.123191
3490000,120,18.099819
3500000,120,18.020635
3510000,120,18.085294
3520000,121,18.082979
3530000,121,18.045613
3540000,121,18.048217
3550000,122,18.034622
3560000,122,18.036446
3570000,123,18.029794
3580000,123,18.005905
3590000,123,18.026255
3600000,124,18.037039
3610000,124,18.017515
3620000,124,18.016462
3630000,125,18.007010
3640000,125,17.988329
3650000,125,17.998039
3660000,126,18.004656
3670000,126,17.958243
3680000,127,17.978766
3690000,127,17.978490
3700000,127,17.929720
3710000,128,17.907225
3720000,128,17.962947
3730000,128,17.957308
3740000,129,17.901548
3750000,129,17.933826
3760000,129,17.916992
3770000,130,17.924118
3780000,130,17.924214
3790000,131,17.912711
3800000,131,17.902707
3810000,131,17.897832
3820000,132,17.866745
3830000,132,17.869502
3840000,132,17.884837
3850000,133,17.860465
3860000,133,17.863956
3870000,133,17.821472
3880000,134,17.856576
3890000,134,17.845653
