Iterations,Seconds,Score
10000,1711155093,80,589065
20000,1711155094,80,589065
30000,1711155095,80,589065
40000,1711155095,80,589065
50000,1711155096,80,589065
60000,1711155096,80,589065
70000,1711155097,80,276057
80000,1711155098,80,589065
90000,1711155098,79,990133
100000,1711155099,80,182179
110000,1711155099,80,055735
120000,1711155100,80,589065
130000,1711155101,80,463624
140000,1711155101,79,968857
150000,1711155102,79,957722
160000,1711155102,79,363443
170000,1711155103,80,426416
180000,1711155103,80,102741
190000,1711155104,79,529057
200000,1711155105,78,112331
210000,1711155105,79,692615
220000,1711155106,80,589065
230000,1711155106,79,306569
240000,1711155107,79,243475
250000,1711155107,80,223842
260000,1711155108,80,589065
270000,1711155109,80,063402
280000,1711155109,79,055548
290000,1711155110,79,042729
300000,1711155110,78,617418
310000,1711155111,79,540984
320000,1711155111,79,234992
330000,1711155112,80,141959
340000,1711155112,79,234113
350000,1711155113,79,297967
360000,1711155114,80,182649
370000,1711155114,79,295519
380000,1711155115,79,121828
390000,1711155115,78,476824
400000,1711155116,79,122388
410000,1711155117,78,875761
420000,1711155117,79,615313
430000,1711155118,77,963187
440000,1711155118,79,756556
450000,1711155119,78,829453
460000,1711155120,77,574694
470000,1711155120,78,861604
480000,1711155121,78,860195
490000,1711155121,76,575167
500000,1711155122,79,320652
510000,1711155122,76,946118
520000,1711155123,79,866461
530000,1711155124,78,454404
540000,1711155124,78,730434
550000,1711155125,77,788165
560000,1711155125,78,978199
570000,1711155126,76,586752
580000,1711155126,78,284398
590000,1711155127,76,958321
600000,1711155127,77,929478
610000,1711155128,78,048417
620000,1711155129,76,600869
630000,1711155129,78,859799
640000,1711155130,78,477851
650000,1711155130,78,185269
660000,1711155131,78,003979
670000,1711155131,78,285870
680000,1711155132,77,973032
690000,1711155132,78,185160
700000,1711155133,78,381031
710000,1711155133,76,768538
720000,1711155134,77,598771
730000,1711155135,77,688210
740000,1711155135,78,202834
750000,1711155135,76,433553
760000,1711155136,77,889141
770000,1711155137,77,166436
780000,1711155137,75,771357
790000,1711155138,76,881165
800000,1711155138,75,476292
810000,1711155139,77,089715
820000,1711155139,77,878184
830000,1711155140,74,526084
840000,1711155140,77,012081
850000,1711155141,77,534557
860000,1711155141,74,924804
870000,1711155142,77,615910
880000,1711155143,77,598056
890000,1711155143,77,910077
900000,1711155144,76,793665
910000,1711155144,76,427016
920000,1711155145,76,446798
930000,1711155145,76,592451
940000,1711155146,76,809257
950000,1711155146,77,575780
960000,1711155147,72,643599
970000,1711155147,76,237784
980000,1711155148,76,568305
990000,1711155149,76,951525
1000000,1711155149,75,529454
1010000,1711155150,74,600284
1020000,1711155150,76,139544
1030000,1711155151,76,935011
1040000,1711155151,76,281959
1050000,1711155152,74,876010
1060000,1711155152,76,042562
1070000,1711155153,76,673110
1080000,1711155154,76,687671
1090000,1711155154,76,434161
1100000,1711155155,75,662936
1110000,1711155155,76,450370
1120000,1711155156,77,037485
1130000,1711155156,76,196080
1140000,1711155157,75,535063
1150000,1711155157,74,488479
1160000,1711155158,75,675550
1170000,1711155159,75,887478
1180000,1711155159,76,416572
1190000,1711155160,75,144973
1200000,1711155160,75,734076
1210000,1711155161,74,615916
1220000,1711155161,74,980696
1230000,1711155162,75,877556
1240000,1711155162,76,682786
1250000,1711155163,74,014926
1260000,1711155163,75,896831
1270000,1711155164,74,704202
1280000,1711155164,75,719182
1290000,1711155165,75,404984
1300000,1711155165,75,407061
1310000,1711155166,75,027149
1320000,1711155166,73,716578
1330000,1711155167,75,204417
1340000,1711155168,75,200443
1350000,1711155168,74,866376
1360000,1711155169,76,109191
1370000,1711155169,74,659215
1380000,1711155170,74,983279
1390000,1711155170,74,056652
1400000,1711155171,75,395606
1410000,1711155171,76,013405
1420000,1711155172,75,198204
1430000,1711155172,75,428475
1440000,1711155173,75,426584
1450000,1711155174,73,836934
1460000,1711155174,74,649513
1470000,1711155175,75,242728
1480000,1711155175,73,251202
1490000,1711155176,75,975990
1500000,1711155176,73,831731
1510000,1711155177,74,056552
1520000,1711155177,75,120710
1530000,1711155178,73,970972
1540000,1711155178,74,479507
1550000,1711155179,73,706146
1560000,1711155180,73,728340
1570000,1711155180,74,558849
1580000,1711155181,73,817717
1590000,1711155181,73,860234
1600000,1711155182,74,033657
1610000,1711155182,73,953502
1620000,1711155183,73,493202
1630000,1711155184,73,397825
1640000,1711155184,73,368657
1650000,1711155185,73,327027
1660000,1711155185,74,316809
1670000,1711155186,74,315887
1680000,1711155186,73,089145
1690000,1711155187,73,199117
1700000,1711155187,71,179363
1710000,1711155188,73,946164
1720000,1711155189,74,173506
1730000,1711155189,73,905402
1740000,1711155190,74,067274
1750000,1711155190,73,466298
1760000,1711155191,73,750371
1770000,1711155191,73,264944
1780000,1711155191,73,318706
1790000,1711155192,73,291224
1800000,1711155193,73,550403
1810000,1711155193,72,742515
1820000,1711155194,74,835643
1830000,1711155194,72,350975
1840000,1711155195,73,740625
1850000,1711155196,73,658809
1860000,1711155196,72,976783
1870000,1711155197,73,834703
1880000,1711155197,73,196822
1890000,1711155198,72,764837
1900000,1711155198,73,886302
1910000,1711155199,73,692906
1920000,1711155199,72,979842
1930000,1711155200,73,012984
1940000,1711155200,72,804368
1950000,1711155201,73,126510
1960000,1711155202,73,046035
1970000,1711155202,72,756240
1980000,1711155203,72,290513
1990000,1711155203,72,316709
2000000,1711155204,73,838004
