Iterations,Seconds,Score
10000,1711187182,79,427407
20000,1711187182,79,427407
30000,1711187183,79,427407
40000,1711187183,79,427407
50000,1711187184,79,427407
60000,1711187184,79,339910
70000,1711187185,79,427407
80000,1711187185,78,437230
90000,1711187186,79,427407
100000,1711187187,78,233407
110000,1711187187,75,260360
120000,1711187188,79,191928
130000,1711187189,78,969825
140000,1711187189,78,684217
150000,1711187190,76,277427
160000,1711187190,79,427407
170000,1711187191,78,609527
180000,1711187191,78,301464
190000,1711187192,79,427407
200000,1711187193,79,419642
210000,1711187193,79,427407
220000,1711187194,77,741727
230000,1711187194,77,803243
240000,1711187195,77,812340
250000,1711187195,77,145964
260000,1711187196,78,013133
270000,1711187196,79,427407
280000,1711187197,76,446305
290000,1711187198,74,422427
300000,1711187198,79,061915
310000,1711187199,77,699126
320000,1711187199,79,427407
330000,1711187200,76,125365
340000,1711187200,79,427407
350000,1711187201,75,680859
360000,1711187201,76,998173
370000,1711187202,78,625424
380000,1711187202,77,863417
390000,1711187203,77,245532
400000,1711187203,75,738751
410000,1711187204,75,011965
420000,1711187204,74,933835
430000,1711187205,76,404789
440000,1711187205,75,464298
450000,1711187206,76,663899
460000,1711187206,76,691601
470000,1711187207,76,591767
480000,1711187208,77,469960
490000,1711187208,76,499744
500000,1711187209,75,252366
510000,1711187209,77,265282
520000,1711187210,75,017283
530000,1711187210,73,027547
540000,1711187211,73,497104
550000,1711187211,74,380443
560000,1711187212,76,598725
570000,1711187212,75,354041
580000,1711187213,75,659245
590000,1711187213,75,453743
600000,1711187214,71,756038
610000,1711187214,75,416183
620000,1711187215,75,068772
630000,1711187216,74,832477
640000,1711187216,75,554878
650000,1711187217,76,780408
660000,1711187217,73,482246
670000,1711187218,70,717359
680000,1711187218,74,297549
690000,1711187219,74,807146
700000,1711187219,74,565234
710000,1711187220,73,942501
720000,1711187220,72,723450
730000,1711187221,75,627830
740000,1711187222,73,039505
750000,1711187222,73,761158
760000,1711187223,71,370429
770000,1711187223,72,847323
780000,1711187224,73,812196
790000,1711187224,74,160174
800000,1711187225,75,416431
810000,1711187225,74,515184
820000,1711187226,76,263928
830000,1711187226,75,765003
840000,1711187227,73,901606
850000,1711187227,75,748126
860000,1711187228,76,215493
870000,1711187228,72,481184
880000,1711187229,73,274659
890000,1711187230,71,713118
900000,1711187230,72,214492
910000,1711187231,73,102680
920000,1711187231,74,684988
930000,1711187232,71,839082
940000,1711187232,70,061161
950000,1711187232,72,981586
960000,1711187233,71,139135
970000,1711187234,72,073828
980000,1711187234,71,084808
990000,1711187235,72,921886
1000000,1711187235,73,698529
1010000,1711187236,72,388058
1020000,1711187236,72,888413
1030000,1711187237,72,128400
1040000,1711187237,72,532468
1050000,1711187238,72,436223
1060000,1711187238,71,299206
1070000,1711187239,72,356309
1080000,1711187239,72,105826
1090000,1711187240,73,147954
1100000,1711187240,73,724541
1110000,1711187241,71,819045
1120000,1711187241,68,206642
1130000,1711187242,72,978795
1140000,1711187242,72,425788
1150000,1711187243,69,745833
1160000,1711187243,73,129109
1170000,1711187244,68,592934
1180000,1711187244,73,270589
1190000,1711187245,67,963410
1200000,1711187245,68,067359
1210000,1711187246,71,650747
1220000,1711187246,70,126676
1230000,1711187247,71,970696
1240000,1711187247,71,862064
1250000,1711187248,71,067016
1260000,1711187248,71,943813
1270000,1711187249,70,185178
1280000,1711187249,70,888130
1290000,1711187250,71,157320
1300000,1711187251,70,854919
1310000,1711187251,71,438144
1320000,1711187252,72,147307
1330000,1711187252,71,365470
1340000,1711187253,70,052253
1350000,1711187253,69,675258
1360000,1711187254,70,826639
1370000,1711187254,71,138403
1380000,1711187255,70,170478
1390000,1711187256,68,602186
1400000,1711187256,71,014627
1410000,1711187257,71,435910
1420000,1711187257,69,597992
1430000,1711187258,71,069141
1440000,1711187258,70,331939
1450000,1711187259,70,230603
1460000,1711187259,71,745641
1470000,1711187260,69,996003
1480000,1711187261,71,949474
1490000,1711187261,68,492632
1500000,1711187261,69,619855
1510000,1711187262,69,635876
1520000,1711187262,67,385273
1530000,1711187263,68,849788
1540000,1711187263,69,261125
1550000,1711187264,69,740053
1560000,1711187265,69,336994
1570000,1711187265,65,826871
1580000,1711187266,66,850692
1590000,1711187266,70,682135
1600000,1711187266,66,458296
1610000,1711187267,69,686014
1620000,1711187268,69,909370
1630000,1711187268,69,495306
1640000,1711187269,70,694415
1650000,1711187269,69,869461
1660000,1711187270,68,914121
1670000,1711187270,70,034109
1680000,1711187271,69,088703
1690000,1711187271,67,872411
1700000,1711187272,66,700853
1710000,1711187272,68,993950
1720000,1711187273,69,476419
1730000,1711187274,68,449587
1740000,1711187274,68,394889
1750000,1711187275,68,899524
1760000,1711187275,68,269840
1770000,1711187276,68,283761
1780000,1711187276,67,363300
1790000,1711187277,69,396199
1800000,1711187277,69,257198
1810000,1711187278,68,617534
1820000,1711187278,66,815471
1830000,1711187279,69,206306
1840000,1711187280,68,282157
1850000,1711187280,69,184629
1860000,1711187281,68,646716
1870000,1711187281,68,719727
1880000,1711187281,69,348046
1890000,1711187282,68,666387
1900000,1711187282,69,143425
1910000,1711187283,67,568322
1920000,1711187284,68,603997
1930000,1711187284,68,370499
1940000,1711187285,65,657451
1950000,1711187285,68,050414
1960000,1711187286,68,450022
1970000,1711187286,67,627381
1980000,1711187287,68,321310
1990000,1711187288,64,171132
2000000,1711187288,68,216917
2010000,1711187289,66,605566
2020000,1711187289,67,701286
2030000,1711187290,65,958161
2040000,1711187290,65,928720
2050000,1711187291,66,234561
2060000,1711187291,68,207969
2070000,1711187292,67,315402
2080000,1711187292,68,009132
2090000,1711187293,65,260558
2100000,1711187293,67,838635
2110000,1711187294,66,103173
2120000,1711187295,65,882027
2130000,1711187295,66,979561
2140000,1711187296,67,060166
2150000,1711187296,67,222756
2160000,1711187297,67,937907
2170000,1711187297,65,927363
2180000,1711187298,65,473680
2190000,1711187298,65,623797
2200000,1711187299,66,200633
2210000,1711187299,66,805069
2220000,1711187300,66,610163
2230000,1711187300,64,891042
2240000,1711187301,66,849851
2250000,1711187301,65,823033
2260000,1711187302,68,179862
2270000,1711187302,66,779220
2280000,1711187303,66,884423
2290000,1711187304,67,359609
2300000,1711187304,66,049487
