Iterations,Seconds,Score
10000,1711227768,49,230241
20000,1711227769,49,193699
30000,1711227769,49,230241
40000,1711227770,49,230241
50000,1711227771,49,230241
60000,1711227771,49,230241
70000,1711227772,49,230241
80000,1711227772,49,230241
90000,1711227773,49,230241
100000,1711227774,49,230241
110000,1711227774,49,185694
120000,1711227775,49,230241
130000,1711227775,48,518598
140000,1711227776,49,230241
150000,1711227777,49,230241
160000,1711227777,48,424093
170000,1711227778,48,728718
180000,1711227778,49,046990
190000,1711227779,48,998936
200000,1711227779,48,865831
210000,1711227780,48,777682
220000,1711227781,48,875992
230000,1711227781,48,528073
240000,1711227782,49,117178
250000,1711227782,49,230241
260000,1711227783,48,592785
270000,1711227783,48,909585
280000,1711227784,48,755689
290000,1711227785,48,641128
300000,1711227785,48,040117
310000,1711227786,48,616168
320000,1711227786,48,759076
330000,1711227787,49,230241
340000,1711227787,48,986441
350000,1711227788,48,306573
360000,1711227789,48,326291
370000,1711227789,47,338357
380000,1711227790,46,892001
390000,1711227790,47,547381
400000,1711227791,48,412312
410000,1711227791,48,435196
420000,1711227792,48,607359
430000,1711227792,48,062601
440000,1711227793,48,289812
450000,1711227793,48,818961
460000,1711227794,48,158137
470000,1711227795,47,798490
480000,1711227795,46,840270
490000,1711227796,48,475717
500000,1711227796,48,405964
510000,1711227797,48,429742
520000,1711227797,47,210011
530000,1711227798,47,210074
540000,1711227798,46,889793
550000,1711227799,46,900887
560000,1711227799,48,036070
570000,1711227800,47,769512
580000,1711227800,47,082305
590000,1711227801,48,198277
600000,1711227801,47,064305
610000,1711227802,47,869164
620000,1711227802,46,967516
630000,1711227803,46,788687
640000,1711227803,47,964279
650000,1711227804,46,972089
660000,1711227805,47,636852
670000,1711227805,46,970186
680000,1711227806,46,851734
690000,1711227806,48,396806
700000,1711227807,47,806843
710000,1711227807,47,679715
720000,1711227808,46,620991
730000,1711227808,46,418100
740000,1711227809,48,017153
750000,1711227809,47,296306
760000,1711227810,45,353498
770000,1711227810,47,275159
780000,1711227811,47,115567
790000,1711227811,47,515010
800000,1711227812,46,205722
810000,1711227812,46,167929
820000,1711227813,47,345141
830000,1711227813,46,517693
840000,1711227814,46,331404
850000,1711227814,47,158735
860000,1711227815,46,288218
870000,1711227815,47,080910
880000,1711227816,45,135602
890000,1711227816,46,500077
900000,1711227817,47,101131
910000,1711227818,45,632245
920000,1711227818,47,446732
930000,1711227819,47,155713
940000,1711227819,45,886812
950000,1711227820,46,820214
960000,1711227820,47,764212
970000,1711227821,46,594086
980000,1711227821,47,450940
990000,1711227822,45,810777
1000000,1711227822,46,957416
1010000,1711227823,46,292574
1020000,1711227824,45,871787
1030000,1711227824,46,509434
1040000,1711227825,46,248358
1050000,1711227825,47,058544
1060000,1711227826,46,715169
1070000,1711227826,46,236727
1080000,1711227827,46,284452
1090000,1711227827,44,761538
1100000,1711227827,46,988681
1110000,1711227828,45,467179
1120000,1711227829,46,596086
1130000,1711227829,44,417534
1140000,1711227830,45,749031
1150000,1711227830,46,508742
1160000,1711227831,46,349948
1170000,1711227831,46,076376
1180000,1711227832,45,210297
1190000,1711227832,46,263096
1200000,1711227833,46,470090
1210000,1711227834,45,548690
1220000,1711227834,45,594459
1230000,1711227835,45,452374
1240000,1711227835,46,318762
1250000,1711227836,45,252182
1260000,1711227836,45,423148
1270000,1711227837,45,381242
1280000,1711227837,45,506258
1290000,1711227838,46,049811
1300000,1711227838,46,142135
1310000,1711227839,43,978432
1320000,1711227839,45,247573
1330000,1711227840,46,040256
1340000,1711227840,45,876153
1350000,1711227840,45,635792
1360000,1711227841,45,230824
1370000,1711227841,45,647551
1380000,1711227842,45,165258
1390000,1711227842,45,439197
1400000,1711227843,45,885554
1410000,1711227843,45,454871
1420000,1711227844,45,409805
1430000,1711227844,45,365683
1440000,1711227845,44,865507
1450000,1711227845,45,522172
1460000,1711227846,44,793266
1470000,1711227846,44,980988
1480000,1711227847,45,478738
1490000,1711227847,44,626843
1500000,1711227848,45,326286
1510000,1711227848,44,868843
1520000,1711227849,44,854627
1530000,1711227849,45,200332
1540000,1711227850,45,112829
1550000,1711227850,45,073991
1560000,1711227851,45,188801
1570000,1711227852,44,468199
1580000,1711227852,45,050737
