Iterations,Seconds,Score
10000,1711265313,49,237351
20000,1711265313,49,237351
30000,1711265314,49,237351
40000,1711265314,49,237351
50000,1711265315,49,237351
60000,1711265316,49,215355
70000,1711265316,48,898070
80000,1711265317,49,107932
90000,1711265317,49,237351
100000,1711265318,49,113954
110000,1711265319,49,084242
120000,1711265319,49,237351
130000,1711265320,48,351128
140000,1711265320,48,904655
150000,1711265321,49,034448
160000,1711265322,48,946075
170000,1711265322,49,197061
180000,1711265323,49,002060
190000,1711265323,49,207633
200000,1711265324,49,138365
210000,1711265325,48,695292
220000,1711265325,49,237351
230000,1711265326,48,834417
240000,1711265326,49,100787
250000,1711265327,48,830583
260000,1711265327,49,140572
270000,1711265328,49,035556
280000,1711265328,48,206235
290000,1711265329,48,472749
300000,1711265329,48,754091
310000,1711265330,49,237351
320000,1711265331,49,223431
330000,1711265331,47,832663
340000,1711265332,48,562902
350000,1711265332,48,497179
360000,1711265333,48,853899
370000,1711265333,47,753409
380000,1711265334,47,467325
390000,1711265334,48,944339
400000,1711265335,48,741889
410000,1711265335,48,607285
420000,1711265336,48,345123
430000,1711265337,48,004312
440000,1711265337,47,789687
450000,1711265338,47,732971
460000,1711265338,47,974505
470000,1711265339,48,193544
480000,1711265339,48,072383
490000,1711265340,48,248647
500000,1711265340,47,749286
510000,1711265341,48,171926
520000,1711265341,47,891872
530000,1711265342,47,999652
540000,1711265342,48,113410
550000,1711265343,47,980787
560000,1711265344,47,391099
570000,1711265344,48,458462
580000,1711265345,48,388661
590000,1711265345,48,405097
600000,1711265346,46,522932
610000,1711265346,48,809822
620000,1711265347,47,466042
630000,1711265347,47,749391
640000,1711265348,48,105170
650000,1711265349,48,176375
660000,1711265349,45,526399
670000,1711265350,47,624623
680000,1711265350,47,816203
690000,1711265350,47,276276
700000,1711265351,47,202023
710000,1711265351,47,556238
720000,1711265352,47,824301
730000,1711265352,46,583484
740000,1711265353,47,659008
750000,1711265353,47,712041
760000,1711265354,47,908665
770000,1711265354,47,213573
780000,1711265355,47,714465
790000,1711265355,48,079312
800000,1711265356,47,662697
810000,1711265356,46,654730
820000,1711265357,47,327363
830000,1711265358,47,549537
840000,1711265358,47,541133
850000,1711265359,47,051521
860000,1711265359,45,867839
870000,1711265360,47,492171
880000,1711265360,47,125151
890000,1711265361,46,702810
900000,1711265361,47,180891
910000,1711265362,47,251693
920000,1711265363,46,976719
930000,1711265363,46,814667
940000,1711265364,47,191220
950000,1711265364,46,935051
960000,1711265365,46,672137
970000,1711265365,45,850717
980000,1711265366,45,879818
990000,1711265366,46,284934
1000000,1711265367,46,619165
1010000,1711265367,46,745744
1020000,1711265368,46,968561
1030000,1711265369,46,816173
1040000,1711265369,44,806793
1050000,1711265370,46,151217
